Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 'Transition-state inhibitors of purine salvage and other prospective enzyme targets in malaria.txt', toxicity, 'Membrane-Fusing Vehicles for Re-Sensitizing Transporter-Mediated Multiple-Drug Resistance in Cancer.txt'
, and survival after irinotecan-based chemotherapy.txt',
, 'Efficacy of lazertinib for symptomatic or asymptomatic brain metastases in treatment-naive patients with advanced EGFR mutation-positive non-small cell lung cancer  Protocol of an open-label,
, single-arm phase II trial.txt',
'Anticancer Effect of Benzimidazole Derivatives,'RNA MIAT HMGB1 Axis Is Involved in Cisplatin Resistance via Regulating IL6-Mediated Activation of the JAK2 STAT3 Pathway in Nasopharyngeal Carcinoma.txt','Genomic surveillance of antimicrobial resistant bacterial colonisation and infection in intensive care patients.txt'
 Especially Mebendazole, 'Analysis of single-nucleotide polymorphisms in the crt-o and mdr1 genes of Plasmodium vivax among chloroquine-resistant isolates from the Brazilian Amazon region.txt', 'Defective interleukin-1 receptor antagonist production is associated with resistance of acute liver graft rejection to steroid therapy.txt'
 on Triple-Negative Breast Cancer (TNBC) and Radiotherapy-Resistant TNBC In Vivo and In Vitro.txt', 'Genomic Alterations in PIK3CA-Mutated Breast Cancer Result in mTORC1 Activation and Limit the Sensitivity to PI3Kα Inhibitors.txt', 'Androgen Receptor Degradation for Therapeutic Intervention of Prostate Cancer Drug Resistance.txt'
 'Cave Microbes as a Potential Source of Drugs Development in the Modern Era.txt', 'Study protocol  an open-label individually randomised controlled trial to assess the efficacy of artemether-lumefantrine prophylaxis for malaria among forest goers in Cambodia.txt', 'Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors.txt'
 'Drug repurposing and human parasitic protozoan diseases.txt', 'Treatment with metformin and a dipeptidyl peptidase-4 inhibitor elevates apelin levels in patients with type 2 diabetes mellitus.txt', '32 OPA1 axis-mediated mitochondrial dynamics contributes to cisplatin resistance in non-small cell lung cancer.txt'
 'NRF2-Dependent Bioactivation of Mitomycin C as a Novel Strategy To Target KEAP1-NRF2 Pathway Activation in Human Cancer.txt', 'A randomised controlled trial to compare the efficacy, 'Enhancer-targeted genome editing selectively blocks innate resistance to oncokinase inhibition.txt'
 'Targeting the PI3K mTOR axis, safety,
 alone and in combination with autophagy blockade, and tolerability of low dose,
 for the treatment of malignant peripheral nerve sheath tumors.txt', short course primaquine in adults with uncomplicated P.txt',
'Pilot study evaluating broccoli sprouts in advanced pancreatic cancer (POUDER trial) - study protocol for a randomized controlled trial.txt','Activation of RAS family members confers resistance to ROS1 targeting drugs.txt','Activation of RAS family members confers resistance to ROS1 targeting drugs.txt'
 'In silico repositioning of approved drugs against Schistosoma mansoni energy metabolism targets.txt', 'Efficacy and safety of tenofovir disoproxil fumarate in Asian-Americans with chronic hepatitis B in community settings.txt', 'Melatonin-induced methylation of the ABCG2 BCRP promoter as a novel mechanism to overcome multidrug resistance in brain tumour stem cells.txt'
 'Efficacy and safety of tenofovir disoproxil fumarate in Asian-Americans with chronic hepatitis B in community settings.txt', 'UCN-01 (7-hydoxystaurosporine) inhibits in vivo growth of human cancer cells through selective perturbation of G1 phase checkpoint machinery.txt', 'USP22 supports the aggressive behavior of basal-like breast cancer by stimulating cellular respiration.txt'
 'Treatment of Non-Tuberculous Mycobacterial Lung Disease.txt', 'Inhibition of Autophagy Potentiated the Antitumor Effect of Nedaplatin in Cisplatin-Resistant Nasopharyngeal Carcinoma Cells.txt', 'IkappaB kinase-independent IkappaBalpha degradation pathway  functional NF-kappaB activity and implications for cancer therapy.txt'
 'An analytical method for assessing stage-specific drug activity in Plasmodium vivax malaria  implications for ex vivo drug susceptibility testing.txt', 'Mechanistic evaluation of the signaling events regulating curculin-mediated chemosensitization of breast cancer cells to 5-fluorouracil.txt', 'The AKT1 NF-kappaB Notch1 PTEN axis has an important role in chemoresistance of gastric cancer cells.txt'
 'Hernandezine,, 'RBBP4 Enhances Platinum Chemo Resistance in Lung Adenocarcinoma.txt'
 a novel AMPK activator induces autophagic cell death in drug-resistant cancers.txt',,
'Therapeutic Delivery of Tumor Suppressor miRNAs for Breast Cancer Treatment.txt','In vitro activity of daptomycin &amp; linezolid against methicillin resistant Staphylococcus aureus &amp; vancomycin resistant enterococci isolated from hospitalized cases in Central India.txt','Inhibition of hepatitis C virus replicon RNA synthesis by PSI-352938
 'Using genetics and genomics strategies to personalize therapy for cancer  focus on melanoma.txt', 'A dose escalation and pharmacodynamic study of triapine and radiation in patients with locally advanced pancreas cancer.txt', a cyclic phosphate prodrug of β-D-2'-deoxy-2'-α-fluoro-2'-β-C-methylguanosine.txt'
 'Combination of immunotherapy and other targeted therapies in advanced cutaneous melanoma.txt', 'Evaluation of data quality in a laboratory-based surveillance of M.txt', 'Target-Mediated Fluoroquinolone Resistance in Neisseria gonorrhoeae  Actions of Ciprofloxacin against Gyrase and Topoisomerase IV.txt'
 'Novel and Effective Therapeutic Regimens for Helicobacter pylori in an Era of Increasing Antibiotic Resistance.txt', 'Memantine augmentation in clozapine-refractory schizophrenia  a randomized, 'Dual targeting of BCL-2 and MCL-1 in the presence of BAX breaks venetoclax resistance in human small cell lung cancer.txt'
 'Case report  Olverembatinib monotherapy  the chemotherapy-free regimen for an elderly patient with relapsed Ph-positive acute lymphoblastic leukemia.txt', double-blind, 'Phospholipase A1 modulates the cell envelope phospholipid content of Brucella melitensis
, placebo-controlled crossover study.txt', contributing to polymyxin resistance and pathogenicity.txt'
, 'Culprits of PDAC resistance to gemcitabine and immune checkpoint inhibitor  Tumour microenvironment components.txt', 'PAQR8 promotes breast cancer recurrence and confers resistance to multiple therapies.txt'
'Breast cancer and neurotransmitters  emerging insights on mechanisms and therapeutic directions.txt','Fitness cost of resistance for lumefantrine and piperaquine-resistant Plasmodium berghei in a mouse model.txt','Identification of genes involved in resistance to interferon-alpha in cutaneous T-cell lymphoma.txt'
 'Novel variants in MLL confer to bladder cancer recurrence identified by whole-exome sequencing.txt', 'Dynamics of chronic myeloid leukemia response to dasatinib, 'Protein phosphatase 1 subunit Ppp1r15a GADD34 regulates cytokine production in polyinosinic polycytidylic acid-stimulated dendritic cells.txt'
 'Androgen Receptor in Hormone Receptor-Positive Breast Cancer.txt', nilotinib, 'Structural biology contributions to the discovery of drugs to treat chronic myelogenous leukaemia.txt'
 'LncRNA CCAT1 enhances chemoresistance in hepatocellular carcinoma by targeting QKI-5.txt', and high-dose imatinib.txt', 'KIT signaling governs differential sensitivity of mature and primitive CML progenitors to tyrosine kinase inhibitors.txt'
 'The link between intracellular calcium signaling and exosomal PD-L1 in cancer progression and immunotherapy.txt', 'Tenofovir treatment augments anti-viral immunity against drug-resistant SIV challenge in chronically infected rhesus macaques.txt', 'Contribution of VanY D
 'Prognostic significance and expression pattern of glucose related genes in breast cancer  A comprehensive computational biology approach.txt', 'Comparative activities of LY 333328,D-carboxypeptidase to glycopeptide resistance in Enterococcus faecalis by hydrolysis of peptidoglycan precursors.txt'
 'Advances in Drug Therapy for Metastatic Pancreatic Ductal Adenocarcinoma.txt', a new glycopeptide, 'Molecular logic gates for DNA analysis  detection of rifampin resistance in M.txt'
 'Antiplasmodial, against penicillin-susceptible and -resistant pneumococci.txt', 'N6-Methyladenosine Modification of CIRCKRT17 Initiated by METTL3 Promotes Osimertinib Resistance of Lung Adenocarcinoma by EIF4A3 to Enhance YAP1 Stability.txt'
 antimalarial activities and toxicity of African medicinal plants  a systematic review of literature.txt', 'Evaluation of recombinant 2009 pandemic influenza A (H1N1) viruses harboring zanamivir resistance mutations in mice and ferrets.txt', 'ERK MAPK regulates ERRgamma expression
, 'In Vitro Assessment of Re-treatment Options for Patients with Hepatitis C Virus Genotype 1b Infection Resistant to Daclatasvir Plus Asunaprevir.txt', transcriptional activity and receptor-mediated tamoxifen resistance in ER+ breast cancer.txt'
, 'Synergism of voriconazole and terbinafine against Candida albicans isolates from human immunodeficiency virus-infected patients with oropharyngeal candidiasis.txt', 'Drug Resistance Mutations Alter Dynamics of Inhibitor-Bound HIV-1 Protease.txt'
, 'The Safety of Tenofovir-Emtricitabine for HIV Pre-Exposure Prophylaxis (PrEP) in Individuals With Active Hepatitis B.txt',
, 'Therapeutic Drug Monitoring of Lopinavir in HIV-Infected Children on Second-Line Antiretroviral Therapy in Asia.txt',
'The novel BH3 α-helix mimetic JY-1-106 induces apoptosis in a subset of cancer cells (lung cancer,'Factors Affecting the Pharmacokinetics of Pyrazinamide and Its Metabolites in Patients Coinfected with HIV and Implications for Individualized Dosing.txt','Bacterial effluxome as a barrier against antimicrobial agents  structural biology aspects and drug targeting.txt'
 colon cancer and mesothelioma) by disrupting Bcl-xL and Mcl-1 protein-protein interactions with Bak.txt', 'HIV virological failure and drug resistance among injecting drug users receiving first-line ART in China.txt', 'Inhibition of the Monocarboxylate Transporter 1 (MCT1) Promotes 3T3-L1 Adipocyte Proliferation and Enhances Insulin Sensitivity.txt'
 'HER3 Is an Actionable Target in Advanced Prostate Cancer.txt', 'Sofosbuvir with peginterferon-ribavirin for 12 weeks in previously treated patients with hepatitis C genotype 2 or 3 and cirrhosis.txt', 'Regulation of Multi-drug Resistance in hepatocellular carcinoma cells is TRPC6 Calcium Dependent.txt'
 'SMAD1 as a biomarker and potential therapeutic target in drug-resistant multiple myeloma.txt', 'The efficacy of tenofovir-based therapy in patients showing suboptimal response to entecavir-adefovir combination therapy.txt', 'The molecular basis of targeting PFKFB3 as a therapeutic strategy against cancer.txt'
 'Gene expression profiles can predict panitumumab monotherapy responsiveness in human tumor xenograft models.txt', 'Efficacy and safety of telavancin in clinical trials  a systematic review and meta-analysis.txt', 'Mitochondria-targeted delivery of doxorubicin to enhance antitumor activity with HER-2 peptide-mediated multifunctional pH-sensitive DQAsomes.txt'
 'Targeted activity of the small molecule kinase inhibitor Pz-1 towards RET and TRK kinases.txt',,
'New targets for drug discovery against malaria.txt','Effects of ranitidine treatment on patients with asthma and a history of gastro-oesophageal reflux  a double blind crossover study.txt','The Mechanism of Bacterial Resistance and Potential Bacteriostatic Strategies.txt'
 'Lesser Investigated Natural Ingredients for the Management of Obesity.txt', 'Evaluating the Effect of Lenvatinib on Sorafenib-Resistant Hepatocellular Carcinoma Cells.txt', 'HIV-1 drug resistance mutations emerging on darunavir therapy in PI-naive and -experienced patients in the UK.txt'
 'The role of PTEN in chronic growth hormone-induced hepatic insulin resistance.txt', 'Doxorubicin-Induced Autophagolysosome Formation Is Partly Prevented by Mitochondrial ROS Elimination in DOX-Resistant Breast Cancer Cells.txt', 'Co-delivery of Gefitinib and chloroquine by chitosan nanoparticles for overcoming the drug acquired resistance.txt'
 'Malaria in South Asia  prevalence and control.txt', 'A randomised, 'Effects of structurally distinct human HDAC6 and HDAC6 HDAC8 inhibitors against S.txt'
 'Potential of Nutraceutical Supplementation in the Modulation of White and Brown Fat Tissues in Obesity-Associated Disorders  Role of Inflammatory Signalling.txt', phase II trial of the DNA-hypomethylating agent 5-aza-2'-deoxycytidine (decitabine) in combination with carboplatin vs carboplatin alone in patients with recurrent, 'Identification and characterization of three DNA-binding proteins on the promoter of the human MDR1 gene in drug-sensitive and -resistant cells.txt'
 'Chemical Constituents and Hypoglycemic Mechanisms of Dendrobium nobile in Treatment of Type 2 Diabetic Rats by UPLC-ESI-Q-Orbitrap, partially platinum-sensitive ovarian cancer.txt', 'In vitro cross-resistance profile of nucleoside reverse transcriptase inhibitor (NRTI) BMS-986001 against known NRTI resistance mutations.txt'
 Network Pharmacology and In Vivo Experimental Verification.txt', 'Safety, 'DARPP-32 increases interactions between epidermal growth factor receptor and ERBB3 to promote tumor resistance to gefitinib.txt'
, efficacy, 'Mechanism of Antifungal Action of Monoterpene Isoespintanol against Clinical Isolates of Candida tropicalis.txt'
, and dose response of the maturation inhibitor GSK3532795 (formerly known as BMS-955176) plus tenofovir emtricitabine once daily in treatment-naive HIV-1-infected adults  Week 24 primary analysis from a randomized Phase IIb trial.txt', 'Molecular mechanisms underlying bacterial resistance to ceftazidime avibactam.txt'
, 'Gefitinib inhibits invasive phenotype and epithelial-mesenchymal transition in drug-resistant NSCLC cells with MET amplification.txt', 'Resistance to EGFR blockade in colorectal cancer  liquid biopsies and latent subclones.txt'
'Statins as potential antimalarial drugs  low relative potency and lack of synergy with conventional antimalarial drugs.txt','Effect of duration and intermittency of rifampin on tuberculosis treatment outcomes  a systematic review and meta-analysis.txt','Inhibition of PRMT1 Suppresses the Growth of U87MG-Derived Glioblastoma Stem Cells by Blocking the STAT3 Signaling Pathway.txt'
 'New antimalarial hits from Dacryodes edulis (Burseraceae)--part I  isolation, 'Susceptibilities of serial Cryptococcus neoformans isolates from patients with recurrent cryptococcal meningitis to amphotericin B and fluconazole.txt', 'Cancer testis-45A1 promotes cervical cancer cell tumorigenesis and drug resistance by activating oncogenic SRC and downstream signaling pathways.txt'
 in vitro activity, 'In vitro susceptibility patterns of methicillin-resistant and-susceptible Staphylococcus auerues strains in a population of parenteral drug abusers from 1972 to 1981.txt', 'Vacuolar H+-ATPase inhibitors overcome Bcl-xL-mediated chemoresistance through restoration of a caspase-independent apoptotic pathway.txt'
 in silico drug-likeness and pharmacokinetic profiles.txt', 'Molecular detection of rifampin, 'Tumor necrosis factor α-converting enzyme inhibition reverses hepatic steatosis and improves insulin sensitivity markers and surgical outcome in mice.txt'
 'IND-2, isoniazid, 'Musashi-1 promotes a cancer stem cell lineage and chemoresistance in colorectal cancer cells.txt'
 a Quinoline Derivative, and ofloxacin resistance in Iranian isolates of Mycobacterium tuberculosis by high-resolution melting analysis.txt', 'Identification of microRNAs involved in gefitinib resistance of non-small-cell lung cancer through the insulin-like growth factor receptor 1 signaling pathway.txt'
 Inhibits the Proliferation of Prostate Cancer Cells by Inducing Oxidative Stress, 'Riociguat for Sarcoidosis-Associated Pulmonary Hypertension  Results of a 1-Year Double-Blind,
 Apoptosis and Inhibiting Topoisomerase II.txt', Placebo-Controlled Trial.txt',
 'A Novel Triple-Action Inhibitor Targeting B-Cell Receptor Signaling and BRD4 Demonstrates Preclinical Activity in Chronic Lymphocytic Leukemia.txt', 'Phase II trial of temozolomide plus o6-benzylguanine in adults with recurrent,
 'The Antimicrobial Effects of Colistin Encapsulated in Chelating Complex Micelles for the Treatment of Multi-Drug-Resistant Gram-Negative Bacteria  A Pharmacokinetic Study.txt', temozolomide-resistant malignant glioma.txt',
'How does the multifaceted plant hormone salicylic acid combat disease in plants and are similar mechanisms utilized in humans.txt','Single-dose therapy with streptomycin and sulfametopyrazine for bacteriuria during pregnancy.txt','Characterization of in vitro-generated and clinical optochin-resistant strains of Streptococcus pneumoniae isolated from Argentina.txt'
 'Future directions for precision oncology in prostate cancer.txt', 'Early Experience Implementing Long-Acting Injectable Cabotegravir Rilpivirine for Human Immunodeficiency Virus-1 Treatment at a Ryan White-Funded Clinic in the US South.txt', 'Circulating leptin and adiponectin are associated with insulin resistance in healthy postmenopausal women with hot flashes.txt'
 'New approaches in the management of chronic hepatitis B  role of tenofovir.txt', 'Mecillinam for the treatment of acute pyelonephritis and bacteremia caused by Enterobacteriaceae  a literature review.txt', 'CD4+CD25high T cell numbers are enriched in the peripheral blood of patients with rheumatoid arthritis.txt'
 'Berberine-INF55 (5-nitro-2-phenylindole) hybrid antimicrobials  effects of varying the relative orientation of the berberine and INF55 components.txt', 'In vivo Pharmacokinetics and in vitro Release of Imatinib Mesylate-Loaded Liposomes for Pulmonary Delivery.txt', 'Regulation of NO synthesis
 'Antidiabetic activities of Bolanthus spergulifolius (Caryophyllaceae) extracts on insulin-resistant 3T3-L1 adipocytes.txt', 'Clinical and virologic outcomes in patients with oseltamivir-resistant seasonal influenza A (H1N1) infections  results from a clinical trial.txt', local inflammation
 '2D-quantitative structure-activity relationships model using PLS method for anti-malarial activities of anti-haemozoin compounds.txt', 'Proliferation inhibition and apoptosis induction of imatinib-resistant chronic myeloid leukemia cells via PPP2R5C down-regulation.txt', and innate immunity to pathogens by BET family proteins.txt'
 'Recent Advances in Antimicrobial Nano-Drug Delivery Systems.txt', 'Utilization of dried blood spot specimens can expedite nationwide surveillance of HIV drug resistance in resource-limited settings.txt', 'GPR30 as an initiator of tamoxifen resistance in hormone-dependent breast cancer.txt'
 'Olive oil nanoemulsion containing curcumin  antimicrobial agent against multidrug-resistant bacteria.txt', 'Comprehensive multicenter evaluation of a new line probe assay kit for identification of Mycobacterium species and detection of drug-resistant Mycobacterium tuberculosis.txt', 'Analysis of Regulatory Mechanism of AcrB and CpxR on Colistin Susceptibility Based on Transcriptome and Metabolome of Salmonella Typhimurium.txt'
, 'Guidelines for managing HIV infection.txt', 'The Mycobacterial Efflux Pump EfpA Can Induce High Drug Tolerance to Many Antituberculosis Drugs
,, Including Moxifloxacin
,, in Mycobacterium smegmatis.txt'
,, 'FEN1 promotes tumor progression and confers cisplatin resistance in non-small-cell lung cancer.txt'
,, 'Mechanisms of acquired resistance to androgen receptor targeting drugs in castration-resistant prostate cancer.txt'
,, 'Rapid screening of topoisomerase gene mutations by a novel melting curve analysis method for early warning of fluoroquinolone-resistant Streptococcus pneumoniae emergence.txt'
'Efficacy of coxsackievirus A21 against drug-resistant neoplastic B cells.txt','Use of the Hollow-Fiber Infection Model to Measure the Effect of Combination Therapy of Septic Shock Exposures of Meropenem and Ciprofloxacin against Intermediate and Resistant Pseudomonas aeruginosa Clinical Isolates.txt','Boronic Acids as Prospective Inhibitors of Metallo-β-Lactamases  Efficient Chemical Reaction in the Enzymatic Active Site Revealed by Molecular Modeling.txt'
 'NCX-4040, 'New susceptibility breakpoints for first-line antituberculosis drugs based on antimicrobial pharmacokinetic pharmacodynamic science and population pharmacokinetic variability.txt', 'Conserved residues Glu37 and Trp229 play an essential role in protein folding of β-lactamase.txt'
 a Unique Nitric Oxide Donor, 'Gemcitabine and oxaliplatin (GEMOX) in gemcitabine refractory advanced pancreatic adenocarcinoma  a phase II study.txt', 'Transcriptional analysis of the Staphylococcus aureus penicillin binding protein 2 gene.txt'
 Induces Reversal of Drug-Resistance in Both ABCB1- and ABCG2-Expressing Multidrug Human Cancer Cells.txt', 'Role of tigecycline in the treatment of urinary tract infections  a systematic review of published case reports.txt', 'Structural insights into the functional divergence of WhiB-like proteins in Mycobacterium tuberculosis.txt'
 'Identification of potential inhibitors of Mycobacterium tuberculosis shikimate kinase  molecular docking, 'Acquisition of platinum drug resistance and platinum cross resistance patterns in a panel of human ovarian carcinoma xenografts.txt', 'Somatic deletions of genes regulating MSH2 protein stability cause DNA mismatch repair deficiency and drug resistance in human leukemia cells.txt'
 in silico toxicity and in vitro experiments.txt',,
 'HER inhibitor promotes BRAF MEK inhibitor-induced redifferentiation in papillary thyroid cancer harboring BRAFV600E.txt',,
 'Patchouli alcohol induces G0  G1 cell cycle arrest and apoptosis in vincristine-resistant non-small cell lung cancer through ROS-mediated DNA damage.txt',,
 'PKM2 Inhibitor Shikonin Overcomes the Cisplatin Resistance in Bladder Cancer by Inducing Necroptosis.txt',,
 'Reversal of ABCG2 BCRP-Mediated Multidrug Resistance by 5,,
3',,
5'-Trihydroxy-3,,
6,,
7,,
4'-Tetramethoxyflavone Isolated from the Australian Desert Plant Eremophila galeata Chinnock.txt',,
'A novel role of ADGRF1 (GPR110) in promoting cellular quiescence and chemoresistance in human epidermal growth factor receptor 2-positive breast cancer.txt','Therapeutic Assessment of Chloroquine-Primaquine Combined Regimen in Adult Cohort of Plasmodium vivax Malaria from Primary Care Centres in Southwestern India.txt','Mechanism of action of 1-beta-D-2
 'The pdr12 ABC transporter is required for the development of weak organic acid resistance in yeast.txt', 'Phase II study of sequential hormonal therapy with anastrozole exemestane in advanced and metastatic breast cancer.txt',6-diaminopurine dioxolane
 'Anti-cancer activity of Chaga mushroom (Inonotus obliquus) against dog bladder cancer organoids.txt', 'Blood pressure effects of high-dose amlodipine-benazepril combination in Black and White hypertensive patients not controlled on monotherapy.txt', a prodrug of the human immunodeficiency virus type 1 inhibitor 1-beta-D-dioxolane guanosine.txt'
 'A Preclinical Investigation of GBM-N019 as a Potential Inhibitor of Glioblastoma via Exosomal mTOR CDK6 STAT3 Signaling.txt', 'Talazoparib Does Not Interact with ABCB1 Transporter or Cytochrome P450s, 'Binding motif for RIC-3 chaperon protein in serotonin type 3A receptors.txt'
 'Therapeutic implications of targeting the PI3Kinase AKT mTOR signaling module in melanoma therapy.txt', but Modulates Multidrug Resistance Mediated by ABCC1 and ABCG2  An in Vitro and Ex Vivo Study.txt', 'Characterization of the human multidrug resistance protein containing mutations in the ATP-binding cassette signature region.txt'
 'Carnosic Acid against Lung Cancer  Induction of Autophagy and Activation of Sestrin-2 LKB1 AMPK Signalling.txt', 'Resistance patterns and response to entecavir intensification among HIV-HBV-coinfected adults with persistent HBV viremia.txt', 'Indirect CRISPR screening with photoconversion revealed key factors of drug resistance with cell-cell interactions.txt'
 'MUC16 Regulates TSPYL5 for Lung Cancer Cell Growth and Chemoresistance by Suppressing p53.txt',, 'Nuclear TIGAR mediates an epigenetic and metabolic autoregulatory loop via NRF2 in cancer therapeutic resistance.txt'
 'DDRGK1 Enhances Osteosarcoma Chemoresistance via Inhibiting KEAP1-Mediated NRF2 Ubiquitination.txt',,
'Circulating tumor cells in the diagnosis and management of pancreatic cancer.txt','Evaluation of four newer antimicrobial agents in the Avantage susceptibility test system.txt','The B cell mutator AID promotes B lymphoid blast crisis and drug resistance in chronic myeloid leukemia.txt'
 'HDAC inhibitor chidamide synergizes with venetoclax to inhibit the growth of diffuse large B-cell lymphoma via down-regulation of MYC, 'Susceptibility of the porcine endogenous retrovirus to reverse transcriptase and protease inhibitors.txt', 'CD24 Expression May Play a Role as a Predictive Indicator and a Modulator of Cisplatin Treatment Response in Head and Neck Squamous Cellular Carcinoma.txt'
 BCL2, 'In vitro activity of five quinolones and analysis of the quinolone resistance-determining regions of gyrA, 'Overexpression of endothelial nitric oxide synthase prevents diet-induced obesity and regulates adipocyte phenotype.txt'
 and TP53 expression.txt', gyrB, 'CLIC1 Induces Drug Resistance in Human Choriocarcinoma Through Positive Regulation of MRP1.txt'
 'Is there a relation between triglyceride concentrations in very low density lipoprotein and the index of insulin resistance in nondiabetic subjects.txt', parC, 'Inhibition of EGFR and MEK surmounts entrectinib resistance in a brain metastasis model of NTRK1-rearranged tumor cells.txt'
 'Insulin resistance is associated with poor functional outcome after acute ischemic stroke in non-diabetic patients.txt', and parE in Ureaplasma parvum and Ureaplasma urealyticum clinical isolates from perinatal patients in Japan.txt', 'Maximal Activation of Apoptosis Signaling by Cotargeting Antiapoptotic Proteins in BH3 Mimetic-Resistant AML and AML Stem Cells.txt'
 'Identification of drug candidate against prostate cancer from the aspect of somatic cell reprogramming.txt', 'Successful treatment of acute postoperative right heart failure with low-dose prostaglandin e(1) and assisted circulation.txt', 'Epsin\xa03 potentiates the NF‑κB signaling pathway to regulate apoptosis in breast cancer.txt'
 'Transforming doxorubicin into a cancer stem cell killer via EpCAM aptamer-mediated delivery.txt', 'Moxifloxacin and Sulfamethoxazole-Based Nanocarriers Exhibit Potent Antibacterial Activities.txt', 'STROBE-compliant integrin through focal adhesion involve in cancer stem cell and multidrug resistance of ovarian cancer.txt'
 'Codelivery of an optimal drug siRNA combination using mesoporous silica nanoparticles to overcome drug resistance in breast cancer in vitro and in vivo.txt', 'Pharmacokinetics of mefloquine in combination with sulfadoxine-pyrimethamine and primaquine in male Thai patients with falciparum malaria.txt',
 'Drug Resistance in Colorectal Cancer  From Mechanism to Clinic.txt', 'Profile of isavuconazole and its potential in the treatment of severe invasive fungal infections.txt',
'Antiviral therapies and prospects for a cure of chronic hepatitis B.txt','Evaluation of the In Vitro Activity of Ceftazidime-Avibactam and Ceftolozane-Tazobactam against Meropenem-Resistant Pseudomonas aeruginosa Isolates.txt','Modeling ERBB receptor-regulated G1 S transition to find novel targets for de novo trastuzumab resistance.txt'
 'Anti-angiogenic effect of the combination of low-dose sorafenib and EGCG in HCC-induced Wistar rats.txt', 'Randomized, 'A new mechanism of trastuzumab resistance in gastric cancer  MACC1 promotes the Warburg effect via activation of the PI3K AKT signaling pathway.txt'
 'Targeting polymorphonuclear myeloid-derived suppressor cells in the immunosuppressive tumor microenvironment for cancer immunotherapy.txt', double-blind, 'GABBR2 as a Downstream Effector of the Androgen Receptor Induces Cisplatin Resistance in Bladder Cancer.txt'
 'In a bovine model of onchocerciasis, placebo-controlled phase III trial comparing docetaxel and prednisone with or without bevacizumab in men with metastatic castration-resistant prostate cancer  CALGB 90401.txt', 'Mechanisms by which low glucose enhances the cytotoxicity of metformin to cancer cells both in vitro and in vivo.txt'
 protective immunity exists naturally, 'Comparative double-blind study of 200- and 400-mg enoxacin given orally in the treatment of acute uncomplicated urethral gonorrhea in males.txt', 'Mycothione reductase as a potential target in the fight against Mycobacterium abscessus infections.txt'
 is absent in drug-cured hosts, 'In vitro and in vivo efficacy of ether lipid edelfosine against Leishmania spp.txt',
 and is induced by vaccination.txt', 'Pilot study of radiofrequency hyperthermia in combination with gefitinib in gefitinib-effective patients with advanced NSCLC.txt',
 'Drug-involved Mexican-origin girls' HIV prevention needs  A pilot study.txt',,
'CXCL12 CXCR4 axis induced miR-125b promotes invasion and confers 5-fluorouracil resistance through enhancing autophagy in colorectal cancer.txt','Efficacy and safety of second-line fotemustine in elderly patients with recurrent glioblastoma.txt','Constrained evolution of human immunodeficiency virus type 1 protease during sequential therapy with two distinct protease inhibitors.txt'
 '14-3-3zeta mediates resistance of diffuse large B cell lymphoma to an anthracycline-based chemotherapeutic regimen.txt', 'The effect of HER2 expression on cisplatin-based chemotherapy in advanced non-small cell lung cancer patients.txt', 'GRL-02031
 'Antibody-drug conjugates  the paradigm shifts in the targeted cancer therapy.txt', 'Metabolomic therapy response prediction in pretherapeutic tissue biopsies for trastuzumab in patients with HER2-positive advanced gastric cancer.txt', a novel nonpeptidic protease inhibitor (PI) containing a stereochemically defined fused cyclopentanyltetrahydrofuran potent against multi-PI-resistant human immunodeficiency virus type 1 in vitro.txt'
 'Plant-Derived Bioactive Compounds in Colorectal Cancer  Insights from Combined Regimens with Conventional Chemotherapy to Overcome Drug-Resistance.txt', 'Inhibition of beta-Catenin to Overcome Endocrine Resistance in Tamoxifen-Resistant Breast Cancer Cell Line.txt', 'Molecular Determinants of Ethionamide Resistance in Clinical Isolates of Mycobacterium tuberculosis.txt'
 'Novel strategies for managing pancreatic cancer.txt', 'RESPITE  switching to riociguat in pulmonary arterial hypertension patients with inadequate response to phosphodiesterase-5 inhibitors.txt', 'Mechanism of action
 'Incretin mimetics  promising new therapeutic options in the treatment of type 2 diabetes.txt', 'Cardiovascular activity of rasagiline, resistance
, a selective and potent inhibitor of mitochondrial monoamine oxidase B  comparison with selegiline.txt', interaction
,, pharmacokinetics
,, pharmacodynamics
,, and safety of fostemsavir.txt'
,, 'The roles and targeting options of TRIM family proteins in tumor.txt'
,, 'Defining and combating the mechanisms of triclosan resistance in clinical isolates of Staphylococcus aureus.txt'
Contributions of the Epidermal Growth Factor Receptor to Acquisition of Platinum Resistance in Ovarian Cancer Cells.txt,Staphylococcus aureus α-Toxin Response Distinguishes Respiratory Virus-Methicillin-Resistant S.txt,Iron transport in Escherichia coli  relationship between chromium sensitivity and high iron requirement in mutants of Escherichia coli.txt
 Overcoming Resistance Mechanisms to Immune Checkpoint Inhibitors  Leveraging the Anti-Tumor Immune Response.txt, Modulation of excitatory synaptic transmission by adenosine released from single hippocampal pyramidal neurons.txt, Amino acid substitutions in membrane-spanning domains of Hol1
 Antivirulence Strategies for the Treatment of Staphylococcus aureus Infections  A Mini Review.txt, Cytotoxicity of alkylating agents towards sensitive and resistant strains of Escherichia coli in relation to extent and mode of alkylation of cellular macromolecules and repair of alkylation lesions in deoxyribonucleic acids.txt, a member of the major facilitator superfamily of transporters
