Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
 'Recent Advances in Dual PI3K mTOR Inhibitors for Tumour Treatment.txt', 'Clinical and economic outcomes of decreased fluconazole susceptibility in patients with Candida glabrata bloodstream infections.txt', 'Inhibition of mitochondrial protein translation sensitizes melanoma cells to arsenic trioxide cytotoxicity via a reactive oxygen species dependent mechanism.txt',Recent Advances in Dual PI3K mTOR Inhibitors for Tumour Treatment.txt,Clinical and economic outcomes of decreased fluconazole susceptibility in patients with Candida glabrata bloodstream infections.txt,Inhibition of mitochondrial protein translation sensitizes melanoma cells to arsenic trioxide cytotoxicity via a reactive oxygen species dependent mechanism.txt
'Structural basis of malaria parasite phenylalanine tRNA-synthetase inhibition by bicyclic azetidines.txt','Thymidylate synthase,'Multiple mutations modulate the function of dihydrofolate reductase in trimethoprim-resistant Streptococcus pneumoniae.txt',Structural basis of malaria parasite phenylalanine tRNA-synthetase inhibition by bicyclic azetidines.txt,Thalidomide and dexamethasone vs.txt,Multiple mutations modulate the function of dihydrofolate reductase in trimethoprim-resistant Streptococcus pneumoniae.txt
 'Upgrading gemcitabine with recycled kinase inhibitors.txt', dihydropyrimidine dehydrogenase, 'Differential expression of uridine phosphorylase in tumors contributes to an improved fluoropyrimidine therapeutic activity.txt',Upgrading gemcitabine with recycled kinase inhibitors.txt,Hydrogen peroxide in adaptation.txt,Differential expression of uridine phosphorylase in tumors contributes to an improved fluoropyrimidine therapeutic activity.txt
 'PDE5A inhibitor treatment of persistent pulmonary hypertension after mechanical circulatory support.txt', ERCC1, 'Cytidine Deaminase Deficiency Reveals New Therapeutic Opportunities against Cancer.txt',PDE5A inhibitor treatment of persistent pulmonary hypertension after mechanical circulatory support.txt,CCA-1.txt,Cytidine Deaminase Deficiency Reveals New Therapeutic Opportunities against Cancer.txt
 'Drugging Hijacked Kinase Pathways in Pediatric Oncology  Opportunities and Current Scenario.txt', and thymidine phosphorylase gene expression in primary and metastatic gastrointestinal adenocarcinoma tissue in patients treated on a phase I trial of oxaliplatin and capecitabine.txt', 'The Role of Cystine Glutamate Antiporter SLC7A11 xCT in the Pathophysiology of Cancer.txt',Drugging Hijacked Kinase Pathways in Pediatric Oncology  Opportunities and Current Scenario.txt,"Thymidylate synthase, dihydropyrimidine dehydrogenase, ERCC1, and thymidine phosphorylase gene expression in primary and metastatic gastrointestinal adenocarcinoma tissue in patients treated on a phase I trial of oxaliplatin and capecitabine.txt",The Role of Cystine Glutamate Antiporter SLC7A11 xCT in the Pathophysiology of Cancer.txt
 'Antibody-Drug Conjugates Targeting the Human Epidermal Growth Factor Receptor Family in Cancers.txt', 'Lack of acquired resistance in HER2-positive breast cancer cells after long-term HER2 siRNA nanoparticle treatment.txt', 'Gasdermin B over-expression modulates HER2-targeted therapy resistance by inducing protective autophagy through Rab7 activation.txt',Antibody-Drug Conjugates Targeting the Human Epidermal Growth Factor Receptor Family in Cancers.txt,Lack of acquired resistance in HER2-positive breast cancer cells after long-term HER2 siRNA nanoparticle treatment.txt,Gasdermin B over-expression modulates HER2-targeted therapy resistance by inducing protective autophagy through Rab7 activation.txt
'Chemistry and structure-activity relationship of the styrylquinoline-type HIV integrase inhibitors.txt','A Review of Antibiotic Efficacy in COVID-19 Control.txt','Antibiotic resistance genes of public health importance in livestock and humans in an informal urban community in Nepal.txt',Chemistry and structure-activity relationship of the styrylquinoline-type HIV integrase inhibitors.txt,A Review of Antibiotic Efficacy in COVID-19 Control.txt,Antibiotic resistance genes of public health importance in livestock and humans in an informal urban community in Nepal.txt
 'Rutaecarpine Increases Anticancer Drug Sensitivity in Drug-Resistant Cells through MARCH8-Dependent ABCB1 Degradation.txt', 'The effect of adjuvant zinc therapy on recovery from pneumonia in hospitalized children  a double-blind randomized controlled trial.txt', 'Insensitivity of bacteria to proposed antimetabolites of D-alanyl-D-alanine.txt',Rutaecarpine Increases Anticancer Drug Sensitivity in Drug-Resistant Cells through MARCH8-Dependent ABCB1 Degradation.txt,The effect of adjuvant zinc therapy on recovery from pneumonia in hospitalized children  a double-blind randomized controlled trial.txt,Insensitivity of bacteria to proposed antimetabolites of D-alanyl-D-alanine.txt
 'Overcoming drug resistance in pancreatic cancer.txt', 'Long-term treatment with metformin in obese, 'Antibacterials Developed to Target a Single Organism  Mechanisms and Frequencies of Reduced Susceptibility to the Novel Anti-Clostridium difficile Compounds Fidaxomicin and LFF571.txt',Overcoming drug resistance in pancreatic cancer.txt,Long-term treatment of trigeminal neuralgia with carbamazepine.txt,Antibacterials Developed to Target a Single Organism  Mechanisms and Frequencies of Reduced Susceptibility to the Novel Anti-Clostridium difficile Compounds Fidaxomicin and LFF571.txt
 'Molecular Mechanisms of Metformin for Diabetes and Cancer Treatment.txt', insulin-resistant adolescents  results of a randomized double-blinded placebo-controlled trial.txt', 'Convection shapes the trade-off between antibiotic efficacy and the selection for resistance in spatial gradients.txt',Molecular Mechanisms of Metformin for Diabetes and Cancer Treatment.txt,"Long-term treatment with metformin in obese, insulin-resistant adolescents  results of a randomized double-blinded placebo-controlled trial.txt",Convection shapes the trade-off between antibiotic efficacy and the selection for resistance in spatial gradients.txt
 'The combination of the NS5A and cyclophilin inhibitors results in an additive anti-HCV inhibition in humanized mice without development of resistance.txt', 'Efficacy and tolerability of liposomal polyvinylpyrrolidone-iodine hydrogel for the localized treatment of chronic infective, 'Acquired resistance of human T cells to sulfasalazine.txt',The combination of the NS5A and cyclophilin inhibitors results in an additive anti-HCV inhibition in humanized mice without development of resistance.txt,"Efficacy and tolerability of liposomal polyvinylpyrrolidone-iodine hydrogel for the localized treatment of chronic infective, inflammatory, dermatoses  an uncontrolled pilot study.txt",Acquired resistance of human T cells to sulfasalazine.txt
 'Bempedoic Acid (ETC-1002)  an Investigational Inhibitor of ATP Citrate Lyase.txt', inflammatory, 'The DNA cytosine deaminase APOBEC3B promotes tamoxifen resistance in ER-positive breast cancer.txt',Bempedoic Acid (ETC-1002)  an Investigational Inhibitor of ATP Citrate Lyase.txt,Sleep loss and inflammation.txt,The DNA cytosine deaminase APOBEC3B promotes tamoxifen resistance in ER-positive breast cancer.txt
 'SAF-248, dermatoses  an uncontrolled pilot study.txt', 'Phage-resistant Pseudomonas aeruginosa against a novel lytic phage JJ01 exhibits hypersensitivity to colistin and reduces biofilm production.txt',MDA-MB-468.txt,Pathogens in Ornamental Waters  A Pilot Study.txt,Phage-resistant Pseudomonas aeruginosa against a novel lytic phage JJ01 exhibits hypersensitivity to colistin and reduces biofilm production.txt
 a novel PI3Kδ-selective inhibitor, 'Efficacy and safety of ruxolitinib in patients with newly-diagnosed polycythemia vera  futility analysis of the RuxoBEAT clinical trial of the GSG-MPN study group.txt', 'CYP1B1 inhibits ferroptosis and induces anti-PD-1 resistance by degrading ACSL4 in colorectal cancer.txt',Identification of novel inhibitors of M.txt,Efficacy and safety of ruxolitinib in patients with newly-diagnosed polycythemia vera  futility analysis of the RuxoBEAT clinical trial of the GSG-MPN study group.txt,CYP1B1 inhibits ferroptosis and induces anti-PD-1 resistance by degrading ACSL4 in colorectal cancer.txt
 potently suppresses the growth of diffuse large B-cell lymphoma.txt', 'Protective efficacy and safety of three antimalarial regimens for the prevention of malaria in young Ugandan children  a randomized controlled trial.txt', 'OmpF Downregulation Mediated by Sigma E or OmpR Activation Confers Cefalexin Resistance in Escherichia coli in the Absence of Acquired beta-Lactamases.txt',"SAF-248, a novel PI3Kδ-selective inhibitor, potently suppresses the growth of diffuse large B-cell lymphoma.txt",Protective efficacy and safety of three antimalarial regimens for the prevention of malaria in young Ugandan children  a randomized controlled trial.txt,OmpF Downregulation Mediated by Sigma E or OmpR Activation Confers Cefalexin Resistance in Escherichia coli in the Absence of Acquired beta-Lactamases.txt
 'Novel Derivatives of Tetrahydrobenzo (g) Imidazo[α-1, 'Everolimus plus exemestane for the treatment of advanced breast cancer  a review of subanalyses from BOLERO-2.txt', 'Gfi-1 modulates HMGB1-Mediated autophagy to overcome oxaliplatin resistance in colorectal cancer.txt',Novel systems to study vector-pathogen interactions in malaria.txt,Everolimus plus exemestane for the treatment of advanced breast cancer  a review of subanalyses from BOLERO-2.txt,Gfi-1 modulates HMGB1-Mediated autophagy to overcome oxaliplatin resistance in colorectal cancer.txt
'Impact of Cancer Stem Cells on Therapy Resistance in Gastric Cancer.txt','Levels of expression of the mdr1 gene and glutathione S-transferase genes 2 and 3 and response to chemotherapy in multiple myeloma.txt','Extending foldamer design beyond α-helix mimicry  α β-peptide inhibitors of vascular endothelial growth factor signaling.txt',Impact of Cancer Stem Cells on Therapy Resistance in Gastric Cancer.txt,Levels of expression of the mdr1 gene and glutathione S-transferase genes 2 and 3 and response to chemotherapy in multiple myeloma.txt,Extending foldamer design beyond α-helix mimicry  α β-peptide inhibitors of vascular endothelial growth factor signaling.txt
 'CDK CCN and CDKI alterations for cancer prognosis and therapeutic predictivity.txt', 'Using tea nanoclusters as β-lactamase inhibitors to cure multidrug-resistant bacterial pneumonia  A promising therapeutic strategy by Chinese materioherbology.txt', 'The antibiotic gentamicin inhibits specific protein trafficking functions of the Arf1 2 family of GTPases.txt',CDK CCN and CDKI alterations for cancer prognosis and therapeutic predictivity.txt,Using tea nanoclusters as β-lactamase inhibitors to cure multidrug-resistant bacterial pneumonia  A promising therapeutic strategy by Chinese materioherbology.txt,The antibiotic gentamicin inhibits specific protein trafficking functions of the Arf1 2 family of GTPases.txt
 'Metformin partially reverses the carboplatin-resistance in NSCLC by inhibiting glucose metabolism.txt', 'CRTC2 promotes paclitaxel resistance by inducing autophagy in ovarian cancer in part via the PI3K-AKT signaling axis.txt', 'Disrupting the ArcA Regulatory Network Amplifies the Fitness Cost of Tetracycline Resistance in Escherichia coli.txt',Metformin partially reverses the carboplatin-resistance in NSCLC by inhibiting glucose metabolism.txt,CRTC2 promotes paclitaxel resistance by inducing autophagy in ovarian cancer in part via the PI3K-AKT signaling axis.txt,Disrupting the ArcA Regulatory Network Amplifies the Fitness Cost of Tetracycline Resistance in Escherichia coli.txt
 'Lenvatinib activates anti-tumor immunity by suppressing immunoinhibitory infiltrates in the tumor microenvironment of advanced hepatocellular carcinoma.txt', 'Rapid, 'Reversing multidrug resistance in breast cancer cells by silencing ABC transporter genes with nanoparticle-facilitated delivery of target siRNAs.txt',Lenvatinib activates anti-tumor immunity by suppressing immunoinhibitory infiltrates in the tumor microenvironment of advanced hepatocellular carcinoma.txt,David D.txt,Reversing multidrug resistance in breast cancer cells by silencing ABC transporter genes with nanoparticle-facilitated delivery of target siRNAs.txt
 'Butyrylcholinesterase regulates central ghrelin signaling and has an impact on food intake and glucose homeostasis.txt', transient fluconazole resistance in Candida albicans is associated with increased mRNA levels of CDR.txt', 'Mutations at amino-acid 482 in the ABCG2 gene affect substrate and antagonist specificity.txt',Butyrylcholinesterase regulates central ghrelin signaling and has an impact on food intake and glucose homeostasis.txt,"Rapid, transient fluconazole resistance in Candida albicans is associated with increased mRNA levels of CDR.txt",Mutations at amino-acid 482 in the ABCG2 gene affect substrate and antagonist specificity.txt
 'The role of uric acid in the insulin resistance in children and adolescents with obesity, 'High-Copy Overexpression Screening Reveals PDR5 as the Main Doxorubicin Resistance Gene in Yeast.txt', 'Assessing the contributions of the LiaS histidine kinase to the innate resistance of Listeria monocytogenes to nisin,The role of uric acid in the insulin resistance in children and adolescents with obesity].txt,High-Copy Overexpression Screening Reveals PDR5 as the Main Doxorubicin Resistance Gene in Yeast.txt,"Assessing the contributions of the LiaS histidine kinase to the innate resistance of Listeria monocytogenes to nisin, cephalosporins, and disinfectants.txt"
'HER2 Inhibition in Gastric Cancer-Novel Therapeutic Approaches for an Established Target.txt','A phase 1 trial of the HDAC inhibitor AR-42 in patients with multiple myeloma and T- and B-cell lymphomas.txt','Genome-Wide CRISPR Cas9 Library Screening Identified that DUSP4 Deficiency Induces Lenvatinib Resistance in Hepatocellular Carcinoma.txt',HER2 Inhibition in Gastric Cancer-Novel Therapeutic Approaches for an Established Target.txt,A phase 1 trial of the HDAC inhibitor AR-42 in patients with multiple myeloma and T- and B-cell lymphomas.txt,Genome-Wide CRISPR Cas9 Library Screening Identified that DUSP4 Deficiency Induces Lenvatinib Resistance in Hepatocellular Carcinoma.txt
 'PI3K-resistant GSK3 controls adiponectin formation and protects from metabolic syndrome.txt', 'Rilpivirine versus efavirenz with emtricitabine tenofovir disoproxil fumarate in treatment-naïve HIV-1-infected patients with HIV-1 RNA ≤100, '3D Mass Spectrometry Imaging Reveals a Very Heterogeneous Drug Distribution in Tumors.txt',PI3K-resistant GSK3 controls adiponectin formation and protects from metabolic syndrome.txt,"Rilpivirine versus efavirenz with emtricitabine tenofovir disoproxil fumarate in treatment-naïve HIV-1-infected patients with HIV-1 RNA ≤100,000 copies mL  week 96 pooled ECHO THRIVE subanalysis.txt",3D Mass Spectrometry Imaging Reveals a Very Heterogeneous Drug Distribution in Tumors.txt
 'MET inhibition enhances PARP inhibitor efficacy in castration-resistant prostate cancer by suppressing the ATM ATR and PI3K AKT pathways.txt',000 copies mL  week 96 pooled ECHO THRIVE subanalysis.txt', 'Hyper-phosphorylation of Sequestosome-1 Distinguishes Resistance to Cisplatin in Patient Derived High Grade Serous Ovarian Cancer Cells.txt',MET inhibition enhances PARP inhibitor efficacy in castration-resistant prostate cancer by suppressing the ATM ATR and PI3K AKT pathways.txt,CCR5 monoclonal antibodies for HIV-1 therapy.txt,Hyper-phosphorylation of Sequestosome-1 Distinguishes Resistance to Cisplatin in Patient Derived High Grade Serous Ovarian Cancer Cells.txt
 'Vitamin K2 supplementation improves impaired glycemic homeostasis and insulin sensitivity for type 2 diabetes through gut microbiome and fecal metabolites.txt', 'Variability in plasma concentration of cefotaxime in critically ill patients in an Intensive Care Unit of India and its pharmacodynamic outcome  A nonrandomized, 'Oncosuppressive miRNAs loaded in lipid nanoparticles potentiate targeted therapies in BRAF-mutant melanoma by inhibiting core escape pathways of resistance.txt',Vitamin K2 supplementation improves impaired glycemic homeostasis and insulin sensitivity for type 2 diabetes through gut microbiome and fecal metabolites.txt,"Variability in plasma concentration of cefotaxime in critically ill patients in an Intensive Care Unit of India and its pharmacodynamic outcome  A nonrandomized, prospective, open-label, analytical study.txt",Oncosuppressive miRNAs loaded in lipid nanoparticles potentiate targeted therapies in BRAF-mutant melanoma by inhibiting core escape pathways of resistance.txt
 'Cholestenone functions as an antibiotic against Helicobacter pylori by inhibiting biosynthesis of the cell wall component CGL.txt', prospective, 'Toward precision medicine with next-generation EGFR inhibitors in non-small-cell lung cancer.txt',Cholestenone functions as an antibiotic against Helicobacter pylori by inhibiting biosynthesis of the cell wall component CGL.txt,ABCG2  a perspective.txt,Toward precision medicine with next-generation EGFR inhibitors in non-small-cell lung cancer.txt
 'Babao Dan Reverses Multiple-Drug Resistance in Gastric Cancer Cells via Triggering Apoptosis and Autophagy and Inhibiting PI3K AKT mTOR Signaling.txt', open-label, 'Deconvoluting Mechanisms of Acquired Resistance to RAF Inhibitors in BRAF(V600E)-Mutant Human Glioma.txt',Babao Dan Reverses Multiple-Drug Resistance in Gastric Cancer Cells via Triggering Apoptosis and Autophagy and Inhibiting PI3K AKT mTOR Signaling.txt,Anopheles gambiae s.txt,Deconvoluting Mechanisms of Acquired Resistance to RAF Inhibitors in BRAF(V600E)-Mutant Human Glioma.txt
 'Andrographolide derivative AL-1 improves insulin resistance through down-regulation of NF-kappaB signalling pathway.txt', analytical study.txt', 'Direct GDP-KRAS(G12C) inhibitors and mechanisms of resistance  the tip of the iceberg.txt',Andrographolide derivative AL-1 improves insulin resistance through down-regulation of NF-kappaB signalling pathway.txt,Endophthalmitis management study.txt,Direct GDP-KRAS(G12C) inhibitors and mechanisms of resistance  the tip of the iceberg.txt
"""Attacking cancer's Achilles heel  antagonism of anti-apoptotic BCL-2 family members.txt""","""Assessment of Plasmodium falciparum PfMDR1 transport rates using Fluo-4.txt""","""Tetracycline-inducible expression systems with reduced basal activity in mammalian cells.txt""",Attacking cancer's Achilles heel  antagonism of anti-apoptotic BCL-2 family members.txt,Assessment of Plasmodium falciparum PfMDR1 transport rates using Fluo-4.txt,Tetracycline-inducible expression systems with reduced basal activity in mammalian cells.txt
" ""Treating triple negative breast cancer cells with erlotinib plus a select antioxidant overcomes drug resistance by targeting cancer cell heterogeneity.txt"""," ""Failure of cefepime therapy in treatment of Klebsiella pneumoniae bacteremia.txt"""," ""Posttranscriptional regulation of the inducible nonenzymatic chloramphenicol resistance determinant of IncP plasmid R26.txt""",Treating triple negative breast cancer cells with erlotinib plus a select antioxidant overcomes drug resistance by targeting cancer cell heterogeneity.txt,Failure of cefepime therapy in treatment of Klebsiella pneumoniae bacteremia.txt,Posttranscriptional regulation of the inducible nonenzymatic chloramphenicol resistance determinant of IncP plasmid R26.txt
" ""Didox and resveratrol sensitize colorectal cancer cells to doxorubicin via activating apoptosis and ameliorating P-glycoprotein activity.txt"""," ""Ceftazidime-Avibactam Treatment for Klebsiella pneumoniae Bacteremia in Preterm Infants in NICU  A Clinical Experience.txt"""," ""Mechanism of the development of resistance of streptomycin.txt""",Didox and resveratrol sensitize colorectal cancer cells to doxorubicin via activating apoptosis and ameliorating P-glycoprotein activity.txt,Ceftazidime-Avibactam Treatment for Klebsiella pneumoniae Bacteremia in Preterm Infants in NICU  A Clinical Experience.txt,Mechanism of the development of resistance of streptomycin.txt
" ""Manumycin A inhibits triple-negative breast cancer growth through LC3-mediated cytoplasmic vacuolation death.txt"""," ""Evaluation of antiviral drugs against newly emerged SARS-CoV-2 Omicron subvariants.txt"""," ""SHV-129  A Gateway to Global Suppressors in the SHV β-Lactamase Family.txt""",Manumycin A inhibits triple-negative breast cancer growth through LC3-mediated cytoplasmic vacuolation death.txt,Evaluation of antiviral drugs against newly emerged SARS-CoV-2 Omicron subvariants.txt,SHV-129  A Gateway to Global Suppressors in the SHV β-Lactamase Family.txt
" ""BMS-794833 reduces anlotinib resistance in osteosarcoma by targeting the VEGFR Ras CDK2 pathway.txt"""," ""Efficacy and safety of lixisenatide in a predominantly Asian population with type 2 diabetes insufficiently controlled with basal insulin  The GetGoal-L-C randomized trial.txt"""," ""Dihydrofolate Reductase and Thymidylate Synthase Transgenes Resistant to Methotrexate Interact to Permit Novel Transgene Regulation.txt""",BMS-794833 reduces anlotinib resistance in osteosarcoma by targeting the VEGFR Ras CDK2 pathway.txt,Efficacy and safety of lixisenatide in a predominantly Asian population with type 2 diabetes insufficiently controlled with basal insulin  The GetGoal-L-C randomized trial.txt,Dihydrofolate Reductase and Thymidylate Synthase Transgenes Resistant to Methotrexate Interact to Permit Novel Transgene Regulation.txt
'Engineered Cyclotides with Potant Broad in Vitro and in Vivo Antimicrobial Activity.txt','Comparison of Six Antifungal Susceptibilities of 11 Candida Species Using the VITEK2 AST-YS08 Card and Broth Microdilution Method.txt','OSPREY Predicts Resistance Mutations Using Positive and Negative Computational Protein Design.txt',Engineered Cyclotides with Potent Broad in Vitro and in Vivo Antimicrobial Activity.txt,Comparison of Six Antifungal Susceptibilities of 11 Candida Species Using the VITEK2 AST-YS08 Card and Broth Microdilution Method.txt,OSPREY Predicts Resistance Mutations Using Positive and Negative Computational Protein Design.txt
 'Anticancer and antibacterial secondary metabolites from the endophytic fungus Penicillium sp.txt', 'In vitro and in vivo Activity of Combinations of Polymyxin B with Other Antimicrobials Against Carbapenem-Resistant Acinetobacter baumannii.txt', 'Coumarin-based inhibitors of Bacillus anthracis and Staphylococcus aureus replicative DNA helicase  chemical optimization,Anticancer and antibacterial secondary metabolites from the endophytic fungus Penicillium sp.txt,In vitro and in vivo Activity of Combinations of Polymyxin B with Other Antimicrobials Against Carbapenem-Resistant Acinetobacter baumannii.txt,"Coumarin-based inhibitors of Bacillus anthracis and Staphylococcus aureus replicative DNA helicase  chemical optimization, biological evaluation, and antibacterial activities.txt"
 'In Vitro Antibacterial Activity of Green Synthesized Silver Nanoparticles Using Mangifera indica Aqueous Leaf Extract against Multidrug-Resistant Pathogens.txt', 'Rapid versus standard antimicrobial susceptibility testing to guide treatment of bloodstream infection.txt', biological evaluation,In Vitro Antibacterial Activity of Green Synthesized Silver Nanoparticles Using Mangifera indica Aqueous Leaf Extract against Multidrug-Resistant Pathogens.txt,Rapid versus standard antimicrobial susceptibility testing to guide treatment of bloodstream infection.txt,Clinical evaluation of moxalactam.txt
 'Amino-terminated generation 2 poly(amidoamine) dendrimer as a potential broad-spectrum, 'Systematic Evaluation of the Accelerate Pheno System for Susceptibility Testing of Gram-Negative Bacteria Isolated from Blood Cultures.txt', and antibacterial activities.txt',"Amino-terminated generation 2 poly(amidoamine) dendrimer as a potential broad-spectrum, nonresistance-inducing antibacterial agent.txt",Systematic Evaluation of the Accelerate Pheno System for Susceptibility Testing of Gram-Negative Bacteria Isolated from Blood Cultures.txt,Mode of action of antibacterial agents.txt
 nonresistance-inducing antibacterial agent.txt', 'Clinical response and outcome of pneumonia due to multi-drug resistant Acinetobacter baumannii in critically ill patients.txt', 'Dichloro(triphenylarsino)(N,Bacterial Resistance to Antimicrobial Agents.txt,Clinical response and outcome of pneumonia due to multi-drug resistant Acinetobacter baumannii in critically ill patients.txt,Chemoprophylaxis of malaria in Africa.txt
'Mucoadhesive Rifampicin-Liposomes for the Treatment of Pulmonary Infection by Mycobacterium abscessus  Chitosan or ε-Poly-L-Lysine Decoration.txt','In Vitro Activity of Tigecycline and Colistin against clinical isolates of Acinetobacter baumannii in Hospitals in Tehran and Bandar-Abbas,'Hypoxia-mediated down-regulation of Bid and Bax in tumors occurs via hypoxia-inducible factor 1-dependent and -independent mechanisms and contributes to drug resistance.txt',Mucoadhesive Rifampicin-Liposomes for the Treatment of Pulmonary Infection by Mycobacterium abscessus  Chitosan or ε-Poly-L-Lysine Decoration.txt,"In Vitro Activity of Tigecycline and Colistin against clinical isolates of Acinetobacter baumannii in Hospitals in Tehran and Bandar-Abbas, Iran.txt",Hypoxia-mediated down-regulation of Bid and Bax in tumors occurs via hypoxia-inducible factor 1-dependent and -independent mechanisms and contributes to drug resistance.txt
 'Topotecan in patients with BRCA-associated and sporadic platinum-resistant ovarian, Iran.txt', 'Proinflammatory cytokines tumor necrosis factor-alpha and interferon-gamma modulate epithelial barrier function in Madin-Darby canine kidney cells through mitogen activated protein kinase signaling.txt',"Topotecan in patients with BRCA-associated and sporadic platinum-resistant ovarian, fallopian tube, and primary peritoneal cancers.txt",Prions.txt,Proinflammatory cytokines tumor necrosis factor-alpha and interferon-gamma modulate epithelial barrier function in Madin-Darby canine kidney cells through mitogen activated protein kinase signaling.txt
 fallopian tube, 'In vitro sensitivity of Plasmodium falciparum and clinical response to lumefantrine (benflumetol) and artemether.txt', 'Mammalian Rad51C contributes to DNA cross-link resistance,Malaria in the U.txt,In vitro sensitivity of Plasmodium falciparum and clinical response to lumefantrine (benflumetol) and artemether.txt,"Mammalian Rad51C contributes to DNA cross-link resistance, sister chromatid cohesion and genomic stability.txt"
 and primary peritoneal cancers.txt', 'Vancomycin and oritavancin have different modes of action in Enterococcus faecium.txt', sister chromatid cohesion and genomic stability.txt',Targeted therapy in cancer.txt,Vancomycin and oritavancin have different modes of action in Enterococcus faecium.txt,"Mammalian Rad51C contributes to DNA cross-link resistance, sister chromatid cohesion and genomic stability.txt"
 'The role of taxanes in the management of gastroesphageal cancer.txt', 'In Vitro Activity of Ceftazidime-Avibactam against Contemporary Pseudomonas aeruginosa Isolates from U.txt'," ""An in vivo mutation from leucine to tryptophan at position 210 in human immunodeficiency virus type 1 reverse transcriptase contributes to high-level resistance to 3'-azido-3'-deoxythymidine.txt""",The role of taxanes in the management of gastroesphageal cancer.txt,In Vitro Activity of Ceftazidime-Avibactam against Contemporary Pseudomonas aeruginosa Isolates from U.txt,An in vivo mutation from leucine to tryptophan at position 210 in human immunodeficiency virus type 1 reverse transcriptase contributes to high-level resistance to 3'-azido-3'-deoxythymidine.txt
 'Therapeutically Targetable ALK Mutations in Leukemia.txt', 'International Multicentre Study of Candida auris Infections.txt', 'Proteomic analysis of imatinib-resistant CML-T1 cells reveals calcium homeostasis as a potential therapeutic target.txt',Therapeutically Targetable ALK Mutations in Leukemia.txt,International Multicentre Study of Candida auris Infections.txt,Proteomic analysis of imatinib-resistant CML-T1 cells reveals calcium homeostasis as a potential therapeutic target.txt
 'Luteolin Inhibits Breast Cancer Stemness and Enhances Chemosensitivity through the Nrf2-Mediated Pathway.txt', 'Pentoxifylline and the proteasome inhibitor MG132 induce apoptosis in human leukemia U937 cells through a decrease in the expression of Bcl-2 and Bcl-XL and phosphorylation of p65.txt', 'Targeting metabolic vulnerabilities to overcome resistance to therapy in acute myeloid leukemia.txt',Luteolin Inhibits Breast Cancer Stemness and Enhances Chemosensitivity through the Nrf2-Mediated Pathway.txt,Pentoxifylline and the proteasome inhibitor MG132 induce apoptosis in human leukemia U937 cells through a decrease in the expression of Bcl-2 and Bcl-XL and phosphorylation of p65.txt,Targeting metabolic vulnerabilities to overcome resistance to therapy in acute myeloid leukemia.txt
 'Preclinical Evaluation of In Vitro and In Vivo Antiviral Activities of KCT-01, 'Taxane-induced blockade to nuclear accumulation of the androgen receptor predicts clinical responses in metastatic prostate cancer.txt', 'Genetic and biochemical characterization of norfloxacin resistance in Escherichia coli.txt',"Preclinical Evaluation of In Vitro and In Vivo Antiviral Activities of KCT-01, a New Herbal Formula against Hepatitis B Virus.txt",Taxane-induced blockade to nuclear accumulation of the androgen receptor predicts clinical responses in metastatic prostate cancer.txt,Genetic and biochemical characterization of norfloxacin resistance in Escherichia coli.txt
 a New Herbal Formula against Hepatitis B Virus.txt', 'Susceptibility of bacterial endophthalmitis isolates to vancomycin, 'Chlorinated emodin as a natural antibacterial agent against drug-resistant bacteria through dual influence on bacterial cell membranes and DNA.txt',Identification of a New Benzimidazole Derivative as an Antiviral against Hepatitis C Virus.txt,"Susceptibility of bacterial endophthalmitis isolates to vancomycin, ceftazidime, and amikacin.txt",Chlorinated emodin as a natural antibacterial agent against drug-resistant bacteria through dual influence on bacterial cell membranes and DNA.txt
 'FLT3-targeted therapy restores GATA1 pathway function in NPM1 FLT3-ITD mutated acute myeloid leukaemia.txt', ceftazidime, 'PDGF-R inhibition induces glioblastoma cell differentiation via DUSP1 p38MAPK signalling.txt',FLT3-targeted therapy restores GATA1 pathway function in NPM1 FLT3-ITD mutated acute myeloid leukaemia.txt,Head Lice.txt,PDGF-R inhibition induces glioblastoma cell differentiation via DUSP1 p38MAPK signalling.txt
 'Development of targeted therapy therapeutics to sensitize triple-negative breast cancer chemosensitivity utilizing bacteriophage phi29 derived packaging RNA.txt', and amikacin.txt', 'Bruton's tyrosine kinase inhibition increases BCL-2 dependence and enhances sensitivity to venetoclax in chronic lymphocytic leukemia.txt',Development of targeted therapy therapeutics to sensitize triple-negative breast cancer chemosensitivity utilizing bacteriophage phi29 derived packaging RNA.txt,Malaria in children.txt,Bruton's tyrosine kinase inhibition increases BCL-2 dependence and enhances sensitivity to venetoclax in chronic lymphocytic leukemia.txt
'Agmatine induced NO dependent rat mesenteric artery relaxation and its impairment in salt-sensitive hypertension.txt','Comparable Efficacy of Tigecycline versus Colistin Therapy for Multidrug-Resistant and Extensively Drug-Resistant Acinetobacter baumannii Pneumonia in Critically Ill Patients.txt','Structure-activity relationships of tariquidar analogs as multidrug resistance modulators.txt',Agmatine induced NO dependent rat mesenteric artery relaxation and its impairment in salt-sensitive hypertension.txt,Comparable Efficacy of Tigecycline versus Colistin Therapy for Multidrug-Resistant and Extensively Drug-Resistant Acinetobacter baumannii Pneumonia in Critically Ill Patients.txt,Structure-activity relationships of tariquidar analogs as multidrug resistance modulators.txt
